Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-08-03 19:54:52,USD -> BONE,USD,-1.75,BONE,1.0,USD,1.75,1.75,viban_purchase,
2023-08-02 16:03:01,USD -> DOGE,USD,-20.0,DOGE,261.2,USD,20.0,20.0,viban_purchase,
2023-08-02 15:21:40,USD -> WLD,USD,-2.48,WLD,1.0,USD,2.48,2.48,viban_purchase,
2023-08-02 15:19:21,USD -> BONE,USD,-3.46,BONE,2.0,USD,3.46,3.46,viban_purchase,
2023-08-02 15:09:29,Instant Buy Precredit,USD,50.0,,,USD,50.0,50.0,viban_deposit_precredit,
2023-07-30 06:08:23,Recurring Buy,USD,20.0,CRO,342.684937529769537977,USD,20.0,20.0,recurring_buy_order,
2023-07-30 04:45:49,Withdraw BONE (Cronos),BONE,-20.0,,,USD,28.0476,28.0476,crypto_withdrawal,0x6a13c7a8b63d1986c4341ba7b5ec37574d006f69c32db08227b3ba3f274043e0
2023-07-30 04:43:13,Withdraw ANKR (Cronos),ANKR,-180.9,,,USD,4.69681928998924924692682763868518,4.69681928998924924692682763868518,crypto_withdrawal,0x50600b28d13a09d3d1a1986ae53268a6e5186f23c8431ddd9b0a119db984a357
2023-07-30 04:42:02,Withdraw RADAR (Cronos),RADAR,-1278.0,,,USD,7.75539679680002289673569563539048,7.75539679680002289673569563539048,crypto_withdrawal,0x370acb4af839bb5af853948ec432e69a6aa566c98e148a19111307c9f1ef66a0
2023-07-30 04:40:55,Withdraw LMWR (CRONOS),LMWR,-137.2,,,USD,8.27748543579989182393917156487782,8.27748543579989182393917156487782,crypto_withdrawal,0xb21831e941b0b9d5fbb39ac7ce919b9af89bb24e3ae372bd6f2f56369dacd88c
2023-07-30 04:38:42,Withdraw DOGE (Cronos),DOGE,-130.3,,,USD,10.18137578511227976026453479430329,10.18137578511227976026453479430329,crypto_withdrawal,0xf1c7d40aa86a0ec15ec7f03aa7a2e10f486ce464fd0a54841a0fc49e54f2d27d
2023-07-30 04:36:11,Withdraw OGN (Cronos),OGN,-100.8,,,USD,10.66306120387206141279609729919248,10.66306120387206141279609729919248,crypto_withdrawal,0xca7f9a92bf157d956589ed45402c6b201ce312ddeadc80a5991c1ab55f84301b
2023-07-30 04:35:05,Withdraw DOT (Cronos),DOT,-2.183,,,USD,11.351543287390055456,11.351543287390055456,crypto_withdrawal,0x30f0c462b7c5da7e8c705300708dfc4a285b6209b33de012251d085713a6eeed
2023-07-30 04:33:30,Withdraw MATIC (Polygon),MATIC,-41.18,,,USD,29.16086585209327363817115933025763,29.16086585209327363817115933025763,crypto_withdrawal,0x531417a4c3b0c64f381dbbbda21839ace6e32176108f91ed49a84d7227e9a64a
2023-07-30 04:31:45,Withdraw ADA (Cronos),ADA,-100.97,,,USD,31.44627516148281407394592899322125,31.44627516148281407394592899322125,crypto_withdrawal,0x74efedbad800459717bb2959a20d5c79a5d4e3a96a05e3e5b84d98e3b0442efd
2023-07-30 04:30:19,Withdraw XRP (XRP),XRP,-103.09,,,USD,72.33178105515264788666351318043533,72.33178105515264788666351318043533,crypto_withdrawal,073E8AF829E4F1D466E742CA867B54B84A03A5DD18D3A187FFD5B6B791B0552D
2023-07-30 04:28:45,Withdraw CRO (Cronos),CRO,-500.0,,,USD,29.56100939999991541605508065312202,29.56100939999991541605508065312202,crypto_withdrawal,0xa228879e58831ff1f3533a9df72653ecfdefb043ecaf5cd24b1d29c27cd9a568
2023-07-30 04:27:02,Withdraw AR (Cronos),AR,-2.5,,,USD,13.65182912503690767,13.65182912503690767,crypto_withdrawal,0xf368dfe4f9ecede564a7c1a3ea06b5c99253dfe7583eb15f7d414f9c7a1221c3
2023-07-30 00:56:03,Buy BONE,BONE,20.0,,,USD,30.43,30.43,crypto_purchase,
2023-07-30 00:30:03,Buy VELODROME,VELODROME,200.0,,,USD,29.29,29.29,crypto_purchase,
2023-07-30 00:21:25,Buy CRO,CRO,500.0,,,USD,30.49,30.49,crypto_purchase,
2023-07-29 20:33:42,Buy MATIC,MATIC,27.31,,,USD,20.0,20.0,crypto_purchase,
2023-07-29 20:31:25,Buy ANKR,ANKR,180.9,,,USD,5.0,5.0,crypto_purchase,
2023-07-29 01:42:05,Buy MATIC,MATIC,13.87,,,USD,10.0,10.0,crypto_purchase,
2023-07-29 01:40:55,Buy WLD,WLD,10.0,,,USD,22.22,22.22,crypto_purchase,
2023-07-29 01:35:50,Buy SC,SC,2100.0,,,USD,7.7,7.7,crypto_purchase,
2023-07-29 01:33:27,Buy DGB,DGB,1210.0,,,USD,10.0,10.0,crypto_purchase,
2023-07-27 06:29:45,Withdraw CRO (Cronos),CRO,-163.4,,,USD,9.51318876372460709980078035934867,9.51318876372460709980078035934867,crypto_withdrawal,0x9579ff7f3a4734a7c124853a0a96e268bc1bec2a4e922be5b7e44699a27263c9
2023-07-24 20:10:49,Buy XRP,XRP,70.0,,,USD,50.14,50.14,crypto_purchase,
2023-07-24 20:05:57,Buy ADA,ADA,23.0,,,USD,7.11,7.11,crypto_purchase,
2023-07-24 20:02:57,Buy OGN,OGN,28.0,,,USD,2.6,2.6,crypto_purchase,
2023-07-24 19:57:53,Buy DOGE,DOGE,130.3,,,USD,10.0,10.0,crypto_purchase,
2023-07-23 22:21:52,Buy CRO,CRO,163.4,,,USD,10.0,10.0,crypto_purchase,
2023-07-23 21:24:01,Buy AR,AR,2.5,,,USD,15.82,15.82,crypto_purchase,
2023-07-23 21:20:10,Buy DOT,DOT,2.183,,,USD,12.0,12.0,crypto_purchase,
2023-07-23 21:17:12,Buy LMWR,LMWR,137.2,,,USD,10.0,10.0,crypto_purchase,
2023-07-23 21:14:49,Buy RADAR,RADAR,1278.0,,,USD,10.0,10.0,crypto_purchase,
2023-07-23 21:11:45,Buy OGN,OGN,72.8,,,USD,10.0,10.0,crypto_purchase,
2023-07-23 17:44:23,Buy ADA,ADA,77.97,,,USD,25.0,25.0,crypto_purchase,
2023-07-23 17:40:49,Buy XRP,XRP,33.09,,,USD,25.0,25.0,crypto_purchase,
